Title,Nazwa,Miejsce Realizacji Województwo,Grantobiorca Miejscowość,Grantobiorca Ulica,Grantobiorca Nr budynku,Grantobiorca Kod pocztowy,Wartość wsparcia
"Projekt SpeedForm: Technologie wspierające trening dla triathlonistów, kolarzy, pływaków (woj. wielkopolskie)",B3 Bogumił Głuszkowski,WIELKOPOLSKIE,Sierosław,Tenisowa,32,62-080,538875.0
Rozszerzenie działalności firmy o część kawiarnianą (adaptacja magazynu) wraz z poszerzeniem oferty produktowej o kartę typowo kawiarnianą – z zachowaniem zasad ekologii oraz zrównoważonego rozwoju; w celu zwiększenia odporności firmy na potencjalne kryzysy – region 5: woj. WIELKOPOLSKIE,"URSZULA PROKOP GOŚCINIEC, RESTAURACJA ""NADBARYCZNA""",WIELKOPOLSKIE,Odolanów,Fr. Sójki,25,63-430,119551.83
"Inwestycja na terenie województwa wielkopolskiego w zwiększenie odporności przedsiębiorstwa oraz rozszerzenie działalności gospodarczej o nową usługę bowlingu w kompleksie bankietowo-noclegowym OAZA, celem przyciągnięcia nowych klientów.","PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE ""GRAND STYL"" S.C. HANNA PAZOŁA & PIOTR PAZOŁA & ARTUR PAZOŁA ",WIELKOPOLSKIE,Kłoda,,36,64-130,478440.0
"Wdrożenie nowej gamy produktów w przedsiębiorstwie Izabela Wojdyła PYSZOTY poprzez działania inwestycyjne, szkoleniowe i doradcze w celu rozszerzenia profilu obecnej działalności w województwie wielkopolskim",Izabela Wojdyła PYSZOTY ,WIELKOPOLSKIE,Komorniki,Fabianowska,131,62-052,504000.0
Nowa usługa przygotowywania i dostarczania żywności dla odbiorców zewnętrznych w formie cateringu w przedsiębiorstwie PPUH DERBUT Ryszard Derek w celu rozszerzenia profilu obecnej działalności w województwie wielkopolskim,PPUH DERBUT Ryszard Derek ,WIELKOPOLSKIE,Golina,Piaskowa,46,62-590,413006.42
Zwiększenie odporności przedsiębiorstwa Ryszard Mielcarek RAMA na sytuacje kryzysowe poprzez zapewnienie możliwości jego rozwoju i rozszerzenia działalności – wprowadzenie na rynek nowej usługi gastronomicznej i nowych produktów,Ryszard Mielcarek RAMA ,WIELKOPOLSKIE,Ostrów Wielkopolski,Poznańska,2,63-400,419900.83
Dywersyfikacja działalności przedsiębiorstwa Platon w sektor usług turystycznych na Pogórzu Sudeckim,"Platon, Szkolenia i Konferencje Magdalena Ugrewicz ",DOLNOŚLĄSKIE,Wrocław,Igora Strawińskiego,11,52-129,540000.0
Rozbudowa przedsiębiorstwa spółki w Regionie Sudeckim w celu dywersyfikacji działalności gwarantem stabilizacji i rozwoju,"Platon, Szkolenia i Konferencje sp. z o.o. ",DOLNOŚLĄSKIE,Wysoka,Chabrowa,39,52-200,540000.0
"Inwestycja polegająca na dywersyfikacji działalności przedsiębiorstwa i zwiększeniu jego odporności na sytuacje kryzysowe na rynku poprzez wprowadzenie nowej usługi kateringowej skierowanej do mieszkańców Poznania i okolic w ramach Regionu 5 obejmującego województwa dolnośląskie, lubuskie i wielkopolskie.",Georgi Ginew,WIELKOPOLSKIE,Poznań,Fabianowo,39,60-005,350217.0
Zwiększenie odporności przedsiębiorstwa SMAKI NATURY KAROLINA PALUCH na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności (REGION 5: województwo wielkopolskie),SMAKI NATURY Karolina Paluch ,WIELKOPOLSKIE,Pniewy,Wolności,35,62-045,398966.81
"KINO ZMIENIA ŻYCIE. NA DOBRE - rozszerzenie i dywersyfikacja działalności filmowej dla kultury, biznesu i edukacji w regionie obejmującym województwo wielkopolskie.",PRACOWNIA FERMENT KOLEKTIV Tomasik Radosław ,WIELKOPOLSKIE,Poznań,Głogowska,27,60-702,283097.02
"Dywersyfikacja działalności gospodarczej pn. ""MATTHIEU"" Maciej Bielawny z siedzibą w Grodzisku Wielkopolskim poprzez realizację dwóch dodatkowych usług, tj. rozszerzenie działalności koktajlbaru o usługi restauracyjne w oddziale firmy w Poznaniu oraz organizacja imprez plenerowych na terenie całego kraju, w szczególności województwa wielkopolskiego (Region 5 - wielkopolskie)",MATTHIEU Maciej Bielawny,WIELKOPOLSKIE,Grodzisk Wielkopolski,Kąkolewska,32,62-065,272144.71
"Dywersyfikacja działalności gospodarczej pn. ""SEKRETUM"" Jakub Glica z siedzibą w Granowie poprzez realizację dwóch dodatkowych usług tj. stworzenie kompleksowej usługi organizacji imprez okolicznościowych i plenerowych na terenie całego kraju, w szczególności województwa wielkopolskiego oraz stworzenie przestrzeni sportowo-rekreacyjnej skupiającej się na wynajmowaniu sprzętów wodnych, saun i balii świadczonej głównie w Dormowie w powiecie międzychodzkim (Region 5 - Wielkopolskie)",SEKRETUM JAKUB GLICA ,WIELKOPOLSKIE,Granowo,Kolejowa,47,62-066,319539.83
"Wzmocnienie przedsiębiorstwa SZYMON JANKOWSKI CRAICFORD poprzez dywersyfikację, nowe produkty i usługi. Projekt realizowany w regionie wielkopolskim.",SZYMON JANKOWSKI CRAICFORD,WIELKOPOLSKIE,Leszno,Wesoła,2,64-100,117429.43
Zwiększenie odporności przedsiębiorstwa RESTAURACJA HOTEL BARANOWSKI Tadeusz Baranowski na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 5: województwo lubuskie),RESTAURACJA HOTEL BARANOWSKI Tadeusz Baranowski ,LUBUSKIE,Słubice,Transportowa,4C,69-100,538715.18
Zwiększenie odporności przedsiębiorstwa BREMA Maciej Brencz na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 5: województwo wielkopolskie),BREMA Maciej Brencz ,WIELKOPOLSKIE,Poznań,Wrocławska,18,61-838,539341.76
"Zwiększenie odporności przedsiębiorstwa GASTRO PROJEKT MALWINA BRENCZ, PAWEŁ MĘDREK SPÓŁKA CYWILNA na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 5: województwo wielkopolskie)","GASTRO PROJEKT MALWINA BRENCZ, PAWEŁ MĘDREK SPÓŁKA CYWILNA",WIELKOPOLSKIE,Poznań,Wrocławska,18,61-838,532950.39
Zwiększenie odporności przedsiębiorstwa MAGDALENA SZCZECHOWIAK na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 5: województwo wielkopolskie),MAGDALENA SZCZECHOWIAK,WIELKOPOLSKIE,Pniewy,Powstańców Wlkp.,1,62-045,434536.56
Zwiększenie odporności przedsiębiorstwa JEDZENIE MARZENIE FOODLY FOOD FILIP MUSZYŃSKI na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 5: województwo wielkopolskie),JEDZENIE MARZENIE FOODLY FOOD FILIP MUSZYŃSKI ,WIELKOPOLSKIE,Zalasewo,Polska,29,62-020,89650.13
Podróżniczy zakątek kawowy – miejsce spotkań pasjonatów wypraw w Poznaniu (województwo wielkopolskie),LOGOS TRAVEL MAREK ŚLIWKA SPÓŁKA JAWNA,WIELKOPOLSKIE,Poznań,Adama Mickiewicza,28,60-836,171714.54
"Dywersyfikacja działalności i modernizacja infrastruktury przedsiębiorstwa UNU sp. z o.o. sp.k. w regionie Wielkopolski, poprzez wprowadzenie nowych usług.",UNU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,WIELKOPOLSKIE,Puszczykowo,Stefana Czarnieckiego,56,62-040,397022.63
"Zwiększenie odporności na kryzysy przedsiębiorstwa PPHU ""NAM"" - Z.WOLDAŃSKI, I.KARWOWSKI SPÓŁKA CYWILNA poprzez rozbudowę i modernizację bazy noclegowej oraz wprowadzenie nowych usług- związanych z gastronomią i salą konferencyjną, wraz z wprowadzeniem innowacyjnych rozwiązań technologicznych i ekologicznych, realizowane w Kaliszu w Regionie nr 5 obejmującym m.in. województwo wielkopolskie.","PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""NAM"" - Z.WOLDAŃSKI, I.KARWOWSKI SPÓŁKA CYWILNA",WIELKOPOLSKIE,Kalisz,Fryderyka Chopina,26,62-800,537380.95
"Zwiększenie odporności oraz rozszerzenie i dywersyfikacja działalności przedsiębiorstwa m.in. poprzez rozbudowę oferty gastronomicznej o lody rzemieślnicze dla wegan, bezcukrowe i bezglutenowe w Regionie nr 5 obejmującym województwa wielkopolskie, dolnośląskie i lubuskie.",PASTEL NATALIA BILSKA ,WIELKOPOLSKIE,Kalisz,Główny Rynek,9,62-800,539720.1
Zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe poprzez rozszerzenie oferowanych usług w firmie STOŁÓWKA I KAWIARNIA „POD RUMAKIEM” MARIA MAGDALENA KRZYWDA w woj. DOLNOŚLĄSKIM Region 5,STOŁÓWKA I KAWIARNIA „POD RUMAKIEM” MARIA MAGDALENA KRZYWDA ,DOLNOŚLĄSKIE,Strzegom,Kasztelańska,20,58-150,224335.91
Zwiększenie odporności przedsiębiorstwa na sytuacje kryzysowe poprzez rozszerzenie oferowanych usług w firmie ADAMSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ w woj. DOLNOŚLĄSKIM Region 5,ADAMSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ,DOLNOŚLĄSKIE,Dzierżoniów,Przesmyk,9,58-200,412785.57
Rozwój Ośrodka GWAREK w Ślesinie,Firma Usługowo-Produkcyjna „GASTRONOM” Piotr Jasiak ,WIELKOPOLSKIE,Rzgów,Targowa,10,62-586,418969.95
Dywersyfikacja działalności firmy CASTLE - ARENA KAMIL GÓRECKI - region dolnośląskie,CASTLE - ARENA KAMIL GÓRECKI,DOLNOŚLĄSKIE,Brzeg Dolny,Słoneczna,5,56-120,150485.66
Dywersyfikacja działalności przedsiębiorstwa J&M STAWSCY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ - region wielkopolskie,J&M STAWSCY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,WIELKOPOLSKIE,Jarocin,Księdza Kardynała Stefana Wyszyńskiego,4,62-200,441456.91
"Inwestycja w dywersyfikację usług cateringowych poprzez wprowadzenie nowego rodzaju usług jakimi jest catering eventowy oraz wsparcie tych działań poprzez wdrożenie systemu informatycznego, przeprowadzenie szkoleń pracowniczych i działań zmierzających do zwiększenia energooszczędności w przedsiębiorstwie, prowadzona na terenie Regionu 5, obejmującego województwa dolnośląskie, lubuskie i wielkopolskie",Dwór Niemierzyce Adrian Szukała ,WIELKOPOLSKIE,Niemierzyce,,6,62-066,138819.71
"Projekt Saskia Mariusz Bałut: Dywersyfikacja działalności przez wdrożenie nowych usług produkcji czekolady, lodów, ciast oraz cyfryzację i wprowadzenie działań proekologicznych w województwie wielkopolskim.",SASKIA MARIUSZ BAŁUT ,WIELKOPOLSKIE,Kościan,os. Osiedle Gen. Wł. Sikorskiego,5,64-000,527759.96
"Rozszerzenie i dywersyfikacja działalności sali zabaw dla dzieci Monsterkowo poprzez wprowadzenie usługi cateringu, zlokalizowanego w Regionie 5 w województwie wielkopolskim",FENIX Roma Mężyńska ,WIELKOPOLSKIE,Poznań,Piołunowa,1,61-680,171636.34
Dywersyfikacja działalności firmy cateringowej i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty organizacji imprez zewnętrznych - Region 5,Zbigniew Kwiatkowski Katering i Gastronomia ,WIELKOPOLSKIE,Dąbie,11 Listopada 1918 Roku,40,62-660,129000.65
"Rozszerzenie działalności spółki ESPERANTO MACIEJ IBRON poprzez nową ofertę produktową oraz nowy sposób dystrybucji gotowych dań (catering) i rozpoczęcie sprzedaży przez sieciowych dystrybutorów i wykorzystanie maszyny vendingowej w województwie wielkopolskim, region numer 5.",ESPERANTO MACIEJ IBRON SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ,WIELKOPOLSKIE,Poznań,Stanisława Matyi,2,61-581,532929.6
"Dywersyfikacja działalności Restauracji ""Kogucik"" w Czempiniu","Restauracja ""Kogucik"" Hanna Siejek",WIELKOPOLSKIE,Czempiń,pl. Zielony Rynek,12,64-020,500974.37
Dywersyfikacja działalności Gospody Pod Bażantem,LECH SIEJEK GOSPODA POD BAŻANTEM,WIELKOPOLSKIE,Racot,Kościańska,9E,64-000,503973.22
"Dywersyfikacja działalności FOOD CONCEPT JOLANTA JURKOWLANIEC, pozwalająca na wprowadzenie nowej i ulepszonej usługi, w celu zwiększenia odporności przedsiębiorstwa na sytuacje kryzysowe, realizowana w Regionie 5: województwa dolnośląskie, lubuskie, wielkopolskie.",FOOD CONCEPT JOLANTA JURKOWLANIEC,DOLNOŚLĄSKIE,Wrocław,ks. Konstantego Damrota,24,50-306,419379.03
Zwiększenie potencjału firmy MATEUSZ KANIKOWSKI EWELD EXPO SOLUTIONS w ramach wsparcia HoReCa dla MŚP z regionu wielkopolskiego.,MATEUSZ KANIKOWSKI EWELD EXPO SOLUTIONS ,WIELKOPOLSKIE,Poznań,os. Rzeczypospolitej,14,61-397,536491.01
Rozwój oferty firmy Patrycja Kołacz Trener Personalny w zakresie usług turystycznych na obszarze gminy wiejskiej Nowa Ruda woj. dolnośląskie,Patrycja Kołacz Trener Personalny ,DOLNOŚLĄSKIE,Wolibórz,,188d,57-431,340290.56
Rozszerzenie działalności firmy Siedem Drzew o nowy segment usług wellnes i Zielonej Szkoły skierowanych do nowych grup odbiorców poprzez modernizację infrastruktury hotelowej i gastronomicznej w województwie wielkopolskim.,Siedem Drzew Emilia Sękowska,WIELKOPOLSKIE,Biskupice,Krótka,24,62-007,539554.61
Uruchomienie sali bankietowej w Jarocinie,„LUDWICZAK” WIOLETTA LUDWICZAK I ANGELIKA FILIPIAK SPÓŁKA CYWILNA,WIELKOPOLSKIE,Parzęczew,,32A,63-233,419940.0
Rozszerzenie działalności spółki DYNX poprzez otwarcie drugiego lokalu restauracyjnego z nowymi produktami i dodatkową formą wydawania posiłków w Poznaniu w województwie wielkopolskim (region 5).,Restauracja DYNX Halina Gogulska Beata Mazela ,WIELKOPOLSKIE,Poznań,Ostrówek,12,61-121,386251.72
"Realizacja przedsięwzięcia MŚP polegająca na adaptacji dachu hotelu i wyposażenie w celu świadczenia usług spa w ramach Inwestycji A1.2.1 KPO z regionu nr 5 obejmującego województwa: dolnośląskie, lubuskie, wielkopolskie.",Artur Owczarek-Piotr Bryński s.c.,WIELKOPOLSKIE,Kalisz,al. Aleja Wolności,5,62-800,414000.0
"Zwiększenie odporności na sytuacje kryzysowe i dywersyfikacja przedsiębiorstwa IWONA KACZMAREK PHU ""NIEDŹWIEDŹ"" Zespół Hotelowo-Gastronomiczny, zlokalizowanego w regionie 5 (obejmującym województwa wielkopolskie, dolnośląskie i lubuskie) poprzez utworzenie Centrum Rodzinnego Relaksu.","IWONA KACZMAREK PHU ""NIEDŹWIEDŹ"" Zespół Hotelowo-Gastronomiczny",WIELKOPOLSKIE,Nowy Dębiec,Wczasowa,20,64-000,540000.0
Zwiększenie odporności i rozszerzenie działalności PARTNER TARGI Sp. z o.o. sp. k. poprzez dywersyfikację usług świadczonych w województwie wielkopolskim,PARTNER TARGI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA ,WIELKOPOLSKIE,Poznań,Bobrownicka,1C,61-306,478980.12
Rozszerzenie zakresu działalności Delta S.C o usługi cateringu dietetycznego na terenie regionu nr 5,"Delta Spółka Cywilna Jakub Bok, Barbara Połomka",LUBUSKIE,Chlastawa,,18a,66-210,382676.0
Dywersyfikacja działalności spółki HEJHO Sp. z o.o. w województwie dolnośląskim w ramach zwiększania konkurencyjności gospodarki i wspierania mikroprzedsiębiorstw (Region 5 - dolnośląskie),HEJHO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,DOLNOŚLĄSKIE,Wrocław,Babiego Lata,9,53-020,539911.8
"Dywersyfikacja działalności firmy Massimo Sylwia Pochelska i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług - Region 5 obejmujący województwa dolnośląskie, lubuskie, wielkopolskie",MASSIMO SYLWIA POCHELSKA ,DOLNOŚLĄSKIE,Wrocław,Księcia Józefa Poniatowskiego,13,50-326,415760.71
Uodpornienie przez rozszerzenie i dywersyfikację działalności restauracji i hotelu Wieniawa w Lesznie (region wielkopolski),„IKA” Adam Kenkel Izabela Kenkel Spółka Jawna ,WIELKOPOLSKIE,Leszno,rynek Rynek,29,64-100,316144.36
Wprowadzenie do oferty Lancelot Sp. z o.o. Szczawno Zdrój nowych usług zwiększających odporność firmy w regionie nr 5 - województwo dolnośląskie.,"""LANCELOT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ",DOLNOŚLĄSKIE,Szczawno-Zdrój,Nizinna,4,58-310,424709.65
"Dywersyfikacja, zwiększenie odporności na sytuacje kryzysowe i wprowadzenie nowej usługi w firmie BEATA GŁOWACKA-GŁÓW PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""HOLIDAYS"" w woj. Wielkopolskim Region 5","BEATA GŁOWACKA-GŁÓW PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""HOLIDAYS"" ",WIELKOPOLSKIE,Balczewo,,60a,88-100,404657.92
Dywersyfikacja działalności firmy Grzemi Sp. z o.o. poprzez zakup urządzeń i modernizację obiektu w województwie wielkopolskim,Grzemi Spółka z ograniczoną odpowiedzialnością ,WIELKOPOLSKIE,Poznań,Lutycka,34,60-415,477000.0
"Przygotowanie działalności gospodarczej Wnioskodawcy prowadzonej w branży HoReCa do wprowadzenia nowej usługi masażu odchudzającego i relaksacyjnego mającego na celu poprawę kondycji fizycznej i poprawę samopoczucia, dedykowanej głównie osobom z niepełnosprawnościami oraz osobom starszym i nieporadnym, nie wyłączając innych zainteresowanych z możliwości korzystania, oferowanej w salonie masażu prowadzonym w Hotelu Reśliński w Grodzisku Wielkopolskim na terenie województwa wielkopolskiego.","AURELIA REŚLIŃSKA PRZEDSIĘBIORSTWO WIELOBRANŻOWE ""BEHAPOWIEC"" ",WIELKOPOLSKIE,Grodzisk Wielkopolski,Nowa,27,62-065,408835.65
Zakup nowego projektora kinowego w celu wyświetlania filmów w projekcji 3D wraz z systemem e-Bilet i popularyzacją segregacji odpadów w województwie dolnośląskim (Region 5).,EPICENTRUM KULTURY Józef Pawlicki ,DOLNOŚLĄSKIE,Ścinawa Polska,,56a,55-200,425321.07
Modernizacja i rozbudowa infrastruktury hotelowo-gastronomicznej Zajazdu 'Ligrana' wraz z wprowadzeniem usług konferencyjnych w Regionie nr 5 obejmującym m.in. województwo wielkopolskie,"Rządkowska Halina, Zajazd ""Ligrana""",WIELKOPOLSKIE,Koło,Dąbska,22,62-600,538845.2
Dywersyfikacja działalności firmy Nietota sp. z o. o. w regionie 5 na terenie województwa dolnośląskiego,NIETOTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,DOLNOŚLĄSKIE,Wrocław,Stanisława Leszczyńskiego,4,50-078,539356.83
Dywersyfikacja usług gastronomicznych w Restauracji Pięterko w województwie wielkopolskim,"RESTAURACJA ""PIĘTERKO-STAROPOLSKA"" ZOFIA WROTECKA, KAROLINA SOWA",WIELKOPOLSKIE,Kalisz,Zamkowa,12,62-800,371399.11
"Zwiększenie odporności firmy Różana Sp. z o.o. poprzez rozszerzenie i dywersyfikację działalności w obszarze HoReCa, prowadzonej w Różance w woj. dolnośląskim (region 5)",RÓŻANA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ,DOLNOŚLĄSKIE,Poznań,Gnieźnieńska,69,61-015,406189.23
Dywersyfikacja działalności spółki AXXEDA poprzez uruchomienie klubu filmowego - region 5,AXXEDA FOOD SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,DOLNOŚLĄSKIE,Lubin,1 Maja,11A,59-300,540000.0
LUBUSKIE ROWEROWE LOVE,BIURO PODRÓŻY MEGA TOURS MARIUSZ GRABOWY ,LUBUSKIE,Zielona Góra,Stefana Żeromskiego,10,65-066,237442.1
Inwestycja w dywersyfikację działalności spółki Concordia Design Sp. z o.o. w regionie nr 5 (w woj. wielkopolskim),Concordia Design Spółka z ograniczoną odpowiedzialnością,WIELKOPOLSKIE,Poznań,Zwierzyniecka,3,60-813,442686.4
Inwestycja w poszerzenie działalności spółki Restauracja Concordia Spółka z ograniczoną odpowiedzialnością w regionie nr 5 (w woj. wielkopolskim),Restauracja Concordia Spółka z ograniczoną odpowiedzialnością,WIELKOPOLSKIE,Poznań,Zwierzyniecka,3,60-813,514186.66
"Inwestycja w poszerzenie oraz dywersyfikację działalności spółki Firma Wałkowscy Leon Wałkowski, Izabella Wałkowska Spółka Jawna w regionie nr 5 (w woj. wielkopolskim)","Firma Wałkowscy Leon Wałkowski, Izabella Wałkowska Spółka Jawna",WIELKOPOLSKIE,Chodzież,Ujska,45,64-800,480293.81
Dywersyfikacja działalność organizatora turystyki firmy BOLAN TOUR MAJA SOBOLEWSKA poprzez wprowadzenie do oferty usługi wynajmu domków wypoczynkowych – Region 5,BOLAN TOUR MAJA SOBOLEWSKA ,DOLNOŚLĄSKIE,Wałbrzych,gen. Władysława Andersa,179,58-304,417093.3
Rozszerzenie i dywersyfikacja działalności Forrest Krzysztof Jakimowicz na terenie województwa dolnośląskiego(Region 5).,Forrest Krzysztof Jakimowicz ,DOLNOŚLĄSKIE,Srebrna Góra,Górne Miasto,15,57-215,334300.04
Dywersyfikacja działalności spółki Pyszna Sp. z o.o. w Poznaniu poprzez wprowadzenie krótkoterminowego wynajmu domków letniskowych w ramach zwiększania odporności podmiotów branży HoReCa w województwie wielkopolskim (region 5),Restauracja Pyszna spółka z ograniczoną odpowiedzialnością,WIELKOPOLSKIE,Poznań,Święty Marcin,11,61-803,507000.0
Rozszerzenie działalności firmy Kotlarska 42 Kapała Markiel sp. komandytowa o nowe produkty i usługi w regionie 5 na terenie województwa dolnośląskiego.,KOTLARSKA 42 KAPAŁA MARKIEL SPÓŁKA KOMANDYTOWA ,DOLNOŚLĄSKIE,Wrocław,Stanisława Leszczyńskiego,4,50-078,137598.95
Rozbudowa i modernizacja infrastruktury Restauracji Złoty Karaś w województwie wielkopolskim - dywersyfikacja usług poprzez organizację imprez plenerowych i wprowadzenie zajęć sportowo-rekreacyjnych z zakresu wędkarstwa w Regionie nr 5.,"STANISŁAW BŁASZKOWIAK PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""GAMA""",WIELKOPOLSKIE,Lipka,,32A,62-865,539711.92
Dywersyfikacja działalności Szynkarnia s.c. Piotr Klimczak i Spółka w regionie 5 na terenie województwa dolnośląskiego.,"""Szynkarnia s.c. Piotr Klimczak i Spółka Piotr Klimczak, Lucyna Michalak - Klimczak, Kamil Michalak"" ",DOLNOŚLĄSKIE,Wrocław,św. Antoniego,15,50-073,196598.02
Dywersyfikacja działalności firmy Sudety 678 Paweł Soboń poprzez wprowadzenie nowych usług.,Sudety 678 Paweł Soboń,DOLNOŚLĄSKIE,Szklarska Poręba,Stefana Okrzei,21c,58-580,414000.0
"Zakup środków trwałych i szkolenia, celem dywersyfikacji działalności przedsiębiorstwa „ZIELIŃSKI CATERING GROUP” Maciej Zieliński z siedzibą w Szklarskiej Porębie (woj. dolnośląskie).",Zieliński Catering Group Maciej Zieliński ,DOLNOŚLĄSKIE,Szklarska Poręba,Osiedle Huty,17,58-580,455064.71
Rozszerzenie działalności firmy poprzez organizowanie wyjazdów kitesurfingowych oraz wingfoilowych na wielkopolskie jeziora.,Kitewyjazdy.pl Marcin Remplewicz ,WIELKOPOLSKIE,Poznań,Katowicka,77A,61-131,391818.64
Dywersyfikacja oraz zwiększenie odporności Hotelu Kaskada na przyszłe zagrożenia poprzez wprowadzenie do oferty dwóch nowych usług - Region V Województwo Wielkopolskie,PROINVEST DEVELOPER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA ,WIELKOPOLSKIE,Poznań,Longinusa Podbipięty,9,60-177,443859.4
"Inwestycja realizowana na terenie regionu nr 5, obejmującego województwa wielkopolskie, dolnośląskie i lubuskie, polegająca na rozszerzeniu działalności restauracji Bo znajdującej się w Poznaniu przy ul. Kościuszki 84 o usługi cateringowe świadczone na terenie województwa wielkopolskiego dla odbiorców instytucjonalnych i indywidualnych, a mająca na celu dywersyfikację działalności przedsiębiorstwa i ograniczenie skutków wpływu COVID 19 na przedsiębiorstwo,","""BAPA"" BORYS FROMBERG, JAKUB RUDZIK SPÓŁKA CYWILNA ",WIELKOPOLSKIE,Poznań,Tadeusza Kościuszki,74,61-892,102648.03
"Dywersyfikacja działalności oraz zbudowanie odporności na kryzysy w Hotelu Marta w Oławie, region dolnośląski.",HOTEL MARTA SPÓŁKA CYWILNA MARTA BERDYŚ I MARCIN BERDYŚ ,DOLNOŚLĄSKIE,Oława,Gazowa,2,55-200,536921.46
Da Vinci Cafe: Innowacyjne Centrum Wypieków i Cukiernictwa (woj. wielkopolskie),CAFE DA VINCI BUSZA SPÓŁKA JAWNA,WIELKOPOLSKIE,Poznań,pl. Wolności,10,61-738,531970.92
Dywersyfikacja i rozszerzenie działalności SŁAWOMIR JOPA DW POD FORTAMI na terenie woj. dolnośląskiego - Region 5.,SŁAWOMIR JOPA DW POD FORTAMI ,DOLNOŚLĄSKIE,Srebrna Góra,Widokowa,1,57-215,91022.59
Modernizacja i rozbudowa infrastruktury gastronomicznej z wprowadzeniem innowacyjnych usług SPA i rekreacji oraz instalacji fotowoltaicznych w Restauracji Eldorado i Restauracji Pod Borem Warzybok S.C. w regionie 5.,POD BOREM WARZYBOK S.C. ,WIELKOPOLSKIE,Rzetnia,,110,63-600,478247.44
"Dywersyfikacja działalności przedsiębiorstwa poprzez działania o charakterze inwestycyjnym, doradczym oraz szkoleniowym w regionie nr 5 obejmującym województwa: dolnośląskie, lubuskie, wielkopolskie.",OPERATOR LECHICKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,WIELKOPOLSKIE,Poznań,św. Michała,67,61-005,479680.03
Wdrożenie nowej usługi w firmie iSwim-Szkoła Pływania i organizacja zajęć sportowych BARTŁOMIEJ BOGULSKI,iSwim-Szkoła Pływania i organizacja zajęć sportowych BARTŁOMIEJ BOGULSKI,DOLNOŚLĄSKIE,Wrocław,Długa,60,53-633,64195.98
Dywersyfikacja działalności Hotelu Górskiego Czarna Góra i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty usług strefy SPA wraz z działaniami towarzyszącymi,Małgorzata Górska Hotel Górski ,DOLNOŚLĄSKIE,Sienna,,6,57-550,227485.21
Wzmocnienie odporności i konkurencyjności przedsiębiorstwa poprzez poszerzenie zakresu oferty oraz podniesienie jakości usług Pensjonatu Gregor - województwo Lubuskie,"GRZEGORZ MAKAREWICZ PENSJONAT, FITNESS I SPA GREGOR",LUBUSKIE,Zielona Góra,Chmielna,16A,65-261,413901.45
Dywersyfikacja działalności poprzez uruchomienie działalności w branży fitness,PR SPORT Spółka z ograniczoną odpowiedzialnością ,DOLNOŚLĄSKIE,Bolesławiec,Melchiora Wańkowicza,4,59-700,509939.99
